CFOP;Tipo;Origem/Destino;Categoria;Descrição
1.101;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.102;Entrada;Dentro do Estado;Compras;Compra para comercialização
1.111;Entrada;Dentro do Estado;Compras;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial
1.113;Entrada;Dentro do Estado;Compras;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil
1.116;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural originada de encomenda para recebimento futuro (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.117;Entrada;Dentro do Estado;Compras;Compra para comercialização originada de encomenda para recebimento futuro
1.118;Entrada;Dentro do Estado;Compras;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.
1.120;Entrada;Dentro do Estado;Compras;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente
1.121;Entrada;Dentro do Estado;Compras;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente
1.122;Entrada;Dentro do Estado;Compras;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente
1.125;Entrada;Dentro do Estado;Compras;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria
1.126;Entrada;Dentro do Estado;Compras;Compra para utilização na prestação de serviço sujeita ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) - DECRETO 36.465/2011
1.128;Entrada;Dentro do Estado;Compras;Compra para utilização na prestação de serviço sujeita ao ISSQN(AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011
1.150;Entrada;Dentro do Estado;Transferências;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.151;Entrada;Dentro do Estado;Transferências;Transferência para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.152;Entrada;Dentro do Estado;Transferências;Transferência para comercialização
1.153;Entrada;Dentro do Estado;Energia Elétrica;Transferência de energia elétrica para distribuição
1.154;Entrada;Dentro do Estado;Transferências;Transferência para utilização na prestação de serviço
1.201;Entrada;Dentro do Estado;Devolução;Devolução de venda de produção do estabelecimento
1.202;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros
1.203;Entrada;Dentro do Estado;Devolução;Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1.204;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
1.205;Entrada;Dentro do Estado;Comunicação;Anulação de valor relativo à prestação de serviço de comunicação
1.206;Entrada;Dentro do Estado;Transporte;Anulação de valor relativo à prestação de serviço de transporte
1.207;Entrada;Dentro do Estado;Energia Elétrica;Anulação de valor relativo à venda de energia elétrica
1.208;Entrada;Dentro do Estado;Transferências;Devolução de produção do estabelecimento, remetida em transferência
1.209;Entrada;Dentro do Estado;Transferências;Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência
1.250;Entrada;Dentro do Estado;Energia Elétrica;COMPRAS DE ENERGIA ELÉTRICA
1.251;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica para distribuição ou comercialização
1.252;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento industrial
1.253;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento comercial
1.254;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de transporte
1.255;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação
1.256;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica por estabelecimento de produtor rural
1.257;Entrada;Dentro do Estado;Energia Elétrica;Compra de energia elétrica para consumo por demanda contratada
1.301;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação para execução de serviço da mesma natureza
1.302;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento industrial
1.303;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento comercial
1.304;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte
1.305;Entrada;Dentro do Estado;Energia Elétrica;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica
1.306;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de comunicação por estabelecimento de produtor rural
1.350;Entrada;Dentro do Estado;Transporte;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
1.351;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte para execução de serviço da mesma natureza
1.352;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento industrial
1.353;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento comercial
1.354;Entrada;Dentro do Estado;Comunicação;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação
1.355;Entrada;Dentro do Estado;Energia Elétrica;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica
1.356;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por estabelecimento de produtor rural
1.360;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte por contribuinte-substituto em relação ao serviço de transporte (ACR) (Ajuste SINIEF 06/2007- Decreto nº 30.861/2007) –– a partir de 01.01.2008
1.401;Entrada;Dentro do Estado;Compras;Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.403;Entrada;Dentro do Estado;Compras;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
1.406;Entrada;Dentro do Estado;Ativo Permanente;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária
1.407;Entrada;Dentro do Estado;Uso ou Consumo;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária
1.408;Entrada;Dentro do Estado;Transferências;Transferência para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
1.409;Entrada;Dentro do Estado;Transferências;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
1.410;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria, de produção do estabelecimento, sujeita ao regime de substituição tributária
1.411;Entrada;Dentro do Estado;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária
1.414;Entrada;Dentro do Estado;Outras;Retorno de mercadoria de produção do estabelecimento, remetida para venda fora do estabelecimento, sujeita ao regime de substituição tributária
1.415;Entrada;Dentro do Estado;Outras;Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária
1.450;Entrada;Dentro do Estado;Outras;SISTEMAS DE INTEGRAÇÃO
1.451;Entrada;Dentro do Estado;Outras;Retorno de animal do estabelecimento produtor
1.452;Entrada;Dentro do Estado;Outras;Retorno de insumo não utilizado na produção
1.501;Entrada;Dentro do Estado;Outras;Entrada de mercadoria recebida com fim específico de exportação
1.503;Entrada;Dentro do Estado;Devolução;Entrada decorrente de devolução de produto, de fabricação do estabelecimento, remetido com fim específico de exportação
1.504;Entrada;Dentro do Estado;Devolução;Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros
1.505;Entrada;Dentro do Estado;Devolução;Entrada decorrente de devolução simbólica de mercadoria remetida para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.
1.506;Entrada;Dentro do Estado;Devolução;Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida para formação de lote de exportação.
1.550;Entrada;Dentro do Estado;Outras;OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO
1.551;Entrada;Dentro do Estado;Ativo Permanente;Compra de bem para o ativo imobilizado
1.552;Entrada;Dentro do Estado;Transferências;Transferência de bem do ativo imobilizado
1.553;Entrada;Dentro do Estado;Devolução;Devolução de venda de bem do ativo imobilizado
1.554;Entrada;Dentro do Estado;Outras;Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento
1.555;Entrada;Dentro do Estado;Outras;Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento
1.556;Entrada;Dentro do Estado;Uso ou Consumo;Compra de material para uso ou consumo
1.557;Entrada;Dentro do Estado;Transferências;Transferência de material para uso ou consumo
1.601;Entrada;Dentro do Estado;Transferências;Recebimento, por transferência, de crédito de ICMS
1.602;Entrada;Dentro do Estado;Transferências;Recebimento, por transferência, de saldo credor do ICMS, de outro estabelecimento da mesma empresa, para compensação de saldo devedor do imposto.
1.603;Entrada;Dentro do Estado;Outras;Ressarcimento de ICMS retido por substituição tributária
1.604;Entrada;Dentro do Estado;Outras;Lançamento do crédito relativo à compra de bem para o ativo imobilizado
1.605;Entrada;Dentro do Estado;Transferências;Recebimento, por transferência, de saldo devedor do ICMS de outro estabelecimento da mesma empresa
1.650;Entrada;Dentro do Estado;Outras;ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO, E LUBRIFICANTES (ACR Ajuste SINIEF 9/2003 - a partir 01.01.2004)
1.651;Entrada;Dentro do Estado;Compras;Compra de combustível ou lubrificante para industrialização subseqüente
1.652;Entrada;Dentro do Estado;Compras;Compra de combustível ou lubrificante para comercialização
1.653;Entrada;Dentro do Estado;Uso ou Consumo;Compra de combustível ou lubrificante por consumidor ou usuário final
1.658;Entrada;Dentro do Estado;Transferências;Transferência de combustível ou lubrificante para industrialização
1.659;Entrada;Dentro do Estado;Transferências;Transferência de combustível ou lubrificante para comercialização
1.660;Entrada;Dentro do Estado;Devolução;Devolução de venda de combustível ou lubrificante destinados à industrialização subseqüente
1.661;Entrada;Dentro do Estado;Devolução;Devolução de venda de combustível ou lubrificante destinados à comercialização
1.662;Entrada;Dentro do Estado;Devolução;Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final
1.663;Entrada;Dentro do Estado;Outras;Entrada de combustível ou lubrificante para armazenagem
1.664;Entrada;Dentro do Estado;Outras;Retorno de combustível ou lubrificante remetidos para armazenagem
1.901;Entrada;Dentro do Estado;Outras;Entrada para industrialização por encomenda
1.902;Entrada;Dentro do Estado;Outras;Retorno de mercadoria remetida para industrialização por encomenda
1.903;Entrada;Dentro do Estado;Outras;Entrada de mercadoria remetida para industrialização e não aplicada no referido processo
1.904;Entrada;Dentro do Estado;Outras;Retorno de remessa para venda fora do estabelecimento
1.905;Entrada;Dentro do Estado;Outras;Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral
1.906;Entrada;Dentro do Estado;Outras;Retorno de mercadoria remetida para depósito fechado ou armazém geral
1.907;Entrada;Dentro do Estado;Outras;Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral
1.908;Entrada;Dentro do Estado;Outras;Entrada de bem por conta de contrato de comodato
1.909;Entrada;Dentro do Estado;Outras;Retorno de bem remetido por conta de contrato de comodato
1.910;Entrada;Dentro do Estado;Outras;Entrada de bonificação, doação ou brinde
1.911;Entrada;Dentro do Estado;Outras;Entrada de amostra grátis
1.912;Entrada;Dentro do Estado;Outras;Entrada de mercadoria ou bem recebido para demonstração
1.913;Entrada;Dentro do Estado;Outras;Retorno de mercadoria ou bem remetido para demonstração
1.914;Entrada;Dentro do Estado;Outras;Retorno de mercadoria ou bem remetido para exposição ou feira
1.915;Entrada;Dentro do Estado;Outras;Entrada de mercadoria ou bem recebido para conserto ou reparo
1.916;Entrada;Dentro do Estado;Outras;Retorno de mercadoria ou bem remetido para conserto ou reparo
1.917;Entrada;Dentro do Estado;Outras;Entrada de mercadoria recebida em consignação mercantil ou industrial
1.918;Entrada;Dentro do Estado;Devolução;Devolução de mercadoria remetida em consignação mercantil ou industrial
1.919;Entrada;Dentro do Estado;Devolução;Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial
1.920;Entrada;Dentro do Estado;Outras;Entrada de vasilhame ou sacaria
1.921;Entrada;Dentro do Estado;Outras;Retorno de vasilhame ou sacaria
1.922;Entrada;Dentro do Estado;Outras;Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro
1.923;Entrada;Dentro do Estado;Outras;Entrada de mercadoria recebida do vendedor remetente, em venda à ordem
1.924;Entrada;Dentro do Estado;Outras;Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente
1.925;Entrada;Dentro do Estado;Outras;Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente
1.926;Entrada;Dentro do Estado;Outras;Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação
1.931;Entrada;Dentro do Estado;Transporte;Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na Unidade da Federação onde se tenha iniciado o serviço.
1.932;Entrada;Dentro do Estado;Transporte;Aquisição de serviço de transporte iniciado em Unidade da Federação diversa daquela onde esteja inscrito o prestador
1.933;Entrada;Dentro do Estado;Outras;Aquisição de serviço tributado pelo Imposto sobre Serviços de Qualquer Natureza (Ajuste SINIEF 06/2005) (NR)
1.934;Entrada;Dentro do Estado;Outras;Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral AJUSTE SINIEF 14, DE 11 DE DEZEMBRO DE 2009( efeitos a partir de 1º de julho de 2010) - DECRETO 36.465/2011
1.949;Entrada;Dentro do Estado;Outras;Outra entrada de mercadoria ou prestação de serviço não especificada
2.101;Entrada;De Outros Estados;Compras;Compra para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.102;Entrada;De Outros Estados;Compras;Compra para comercialização
2.111;Entrada;De Outros Estados;Compras;Compra para industrialização de mercadoria recebida anteriormente em consignação industrial
2.113;Entrada;De Outros Estados;Compras;Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil
2.116;Entrada;De Outros Estados;Compras;Compra para industrialização ou produção rural originada de encomenda para recebimento futuro (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.117;Entrada;De Outros Estados;Compras;Compra para comercialização originada de encomenda para recebimento futuro
2.118;Entrada;De Outros Estados;Compras;Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem
2.120;Entrada;De Outros Estados;Compras;Compra para industrialização, em venda à ordem, já recebida do vendedor remetente
2.121;Entrada;De Outros Estados;Compras;Compra para comercialização, em venda à ordem, já recebida do vendedor remetente
2.122;Entrada;De Outros Estados;Compras;Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente
2.124;Entrada;De Outros Estados;Compras;Industrialização efetuada por outra empresa
2.125;Entrada;De Outros Estados;Compras;Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria
2.126;Entrada;De Outros Estados;Compras;Compra para utilização na prestação de serviço sujeita ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) - DECRETO 36.465/2011
2.128;Entrada;De Outros Estados;Compras;Compra para utilização na prestação de serviço sujeita ao ISSQN(AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011
2.150;Entrada;De Outros Estados;Transferências;TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.151;Entrada;De Outros Estados;Transferências;Transferência para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.152;Entrada;De Outros Estados;Transferências;Transferência para comercialização
2.153;Entrada;De Outros Estados;Energia Elétrica;Transferência de energia elétrica para distribuição
2.154;Entrada;De Outros Estados;Transferências;Transferência para utilização na prestação de serviço
2.201;Entrada;De Outros Estados;Devolução;Devolução de venda de produção do estabelecimento
2.202;Entrada;De Outros Estados;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros
2.203;Entrada;De Outros Estados;Devolução;Devolução de venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
2.204;Entrada;De Outros Estados;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio
2.205;Entrada;De Outros Estados;Comunicação;Anulação de valor relativo à prestação de serviço de comunicação
2.206;Entrada;De Outros Estados;Transporte;Anulação de valor relativo à prestação de serviço de transporte
2.207;Entrada;De Outros Estados;Energia Elétrica;Anulação de valor relativo à venda de energia elétrica
2.208;Entrada;De Outros Estados;Transferências;Devolução de produção do estabelecimento, remetida em transferência.
2.209;Entrada;De Outros Estados;Transferências;Devolução de mercadoria adquirida ou recebida de terceiros e remetida em transferência
2.250;Entrada;De Outros Estados;Energia Elétrica;COMPRAS DE ENERGIA ELÉTRICA
2.251;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica para distribuição ou comercialização
2.252;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica por estabelecimento industrial
2.253;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica por estabelecimento comercial
2.254;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de transporte
2.255;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica por estabelecimento prestador de serviço de comunicação
2.256;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica por estabelecimento de produtor rural
2.257;Entrada;De Outros Estados;Energia Elétrica;Compra de energia elétrica para consumo por demanda contratada
2.301;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de comunicação para execução de serviço da mesma natureza
2.302;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de comunicação por estabelecimento industrial
2.303;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de comunicação por estabelecimento comercial
2.304;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte
2.305;Entrada;De Outros Estados;Energia Elétrica;Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica
2.306;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de comunicação por estabelecimento de produtor rural
2.350;Entrada;De Outros Estados;Transporte;AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE
2.351;Entrada;De Outros Estados;Transporte;Aquisição de serviço de transporte para execução de serviço da mesma natureza
2.352;Entrada;De Outros Estados;Transporte;Aquisição de serviço de transporte por estabelecimento industrial
2.353;Entrada;De Outros Estados;Transporte;Aquisição de serviço de transporte por estabelecimento comercial
2.354;Entrada;De Outros Estados;Comunicação;Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação
2.355;Entrada;De Outros Estados;Energia Elétrica;Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica
2.356;Entrada;De Outros Estados;Transporte;Aquisição de serviço de transporte por estabelecimento de produtor rural
2.401;Entrada;De Outros Estados;Compras;Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.403;Entrada;De Outros Estados;Compras;Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
2.406;Entrada;De Outros Estados;Ativo Permanente;Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária
2.407;Entrada;De Outros Estados;Uso ou Consumo;Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária
2.408;Entrada;De Outros Estados;Transferências;Transferência para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)
2.409;Entrada;De Outros Estados;Transferências;Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária
2.410;Entrada;De Outros Estados;Devolução;Devolução de venda de produção do estabelecimento, quando o produto estiver sujeito ao regime de substituição tributária
2.411;Entrada;De Outros Estados;Devolução;Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária
2.414;Entrada;De Outros Estados;Outras;Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento, quando o produto estiver sujeito ao regime de substituição tributária
2.415;Entrada;De Outros Estados;Outras;Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária
2.501;Entrada;De Outros Estados;Outras;Entrada de mercadoria recebida com fim específico de exportação
2.503;Entrada;De Outros Estados;Devolução;Entrada decorrente de devolução de produto industrializado pelo estabelecimento, remetido com fim específico de exportação
2.504;Entrada;De Outros Estados;Devolução;Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros
